Date,Start Time (Before),Stress Score (Before),Stress Category,Activity Performed,End Time (After),Stress Score (After),Stress Improvement
3-Jan-26,6:30 AM,24,Relaxed ,Stretching,7:00 AM,20,4
3-Jan-26,7:30 AM,17,Relaxed ,Meditate,7:40 AM,14,3
3-Jan-26,8:30 AM,18,Relaxed ,Listening to Music ,9:05 AM,8,10
3-Jan-26,3:00 PM,30,Mild,Gaming,3:45 PM,36,-6
3-Jan-26,4:30 PM,30,Mild,Watching,5:00 PM,26,4
3-Jan-26,6:20 PM,33,Mild,Gaming ,7:00 PM,37,-4
3-Jan-26,7:15 PM,33,Mild,Gaming,7:45 PM,35,-2
3-Jan-26,8:15 PM,37,Mild,Listening to Music ,8:35 PM,30,7
3-Jan-26,9:30 PM,36,Mild,Watching,10:00 PM,33,3
4-Jan-26,6:30 AM,24,Relaxed ,Walking,7:00 AM,9,15
4-Jan-26,8:30 AM,33,Mild,Cleaning,9:00 AM,36,-3
4-Jan-26,2:30 PM,38,Mild,Listening to Music ,3:00 PM,30,8
4-Jan-26,10:00 PM,38,Mild,Listening to Music,11:00 PM,24,14
5-Jan-26,6:00 AM,20,Relaxed ,Reading,6:30 AM,17,3
5-Jan-26,8:30 AM,44,Mild,Listening to Music,9:18 AM,30,14
5-Jan-26,9:30 AM,18,Relaxed ,Reading,10:12 AM,11,7
5-Jan-26,12:00 PM,17,Relaxed ,Reading,12:45 PM,14,3
5-Jan-26,7:00 PM,24,Relaxed ,Listening to Music,7:50 PM,19,5
6-Jan-26,6:00 AM,21,Relaxed ,Walking,6:45 AM,6,15
6-Jan-26,7:30 AM,11,Relaxed ,Resting,7:55 AM,14,-3
6-Jan-26,8:15 AM,7,Relaxed ,Watching,8:50 AM,18,-11
6-Jan-26,11:00 AM,29,Mild,Cleaning,12:00 PM,36,-7
6-Jan-26,12:30 PM,32,Mild,Reading,12:50 PM,37,-5
6-Jan-26,4:00 PM,34,Mild,Reading,4:25 PM,35,-1
7-Jan-26,6:30 AM,25,Relaxed ,Reading,7:00 AM,9,16
7-Jan-26,8:00 AM,11,Relaxed ,Reading,8:30 AM,21,-10
7-Jan-26,9:00 AM,12,Relaxed ,Reading,9:26 AM,18,-6
7-Jan-26,3:00 PM,41,Mild,Reading,3:55 PM,35,6
7-Jan-26,7:00 PM,33,Mild,Watching,7:44 PM,38,-5
8-Jan-26,6:00 AM,23,Relaxed ,Meditate,6:30 AM,17,6
8-Jan-26,8:30 AM,17,Relaxed ,Reading,9:00 AM,9,8
8-Jan-26,10:00 AM,22,Relaxed ,Reading,10:30 AM,14,8
8-Jan-26,2:00 PM,4,Relaxed ,Cleaning,2:30 AM,20,-16
8-Jan-26,10:00 PM,43,Mild,Listening to Music,11:00 PM,37,6
9-Jan-26,6:30 AM,21,Relaxed ,Reading,7:00 AM,17,4
9-Jan-26,11:00 AM,15,Relaxed ,Listening to Music,11:30 AM,8,7
9-Jan-26,1:00 PM,37,Mild,Gaming,1:30 PM,41,-4
9-Jan-26,6:00 PM,30,Mild,Gaming,7:05 PM,36,-6
9-Jan-26,8:00 PM,37,Mild,Listening to Music,9:00 PM,32,5
